Designator,Footprint,Quantity,Value,LCSC Part #
AJ-SR04M1,PinHeader_1x04_P2.54mm_Vertical,1,U3,C7243
BT1,JST_EH_S2B-EH_1x02_P2.50mm_Horizontal,1,Battery,
BT2,pila,1,1056TR,C238068
"C1, C14, C17, C4, C7, C8",0805,6,1u,
"C10, C16, C18, C19, C3, C30",0805,6,0.1u,
C11,0805,1,15p,
"C12, C13",0805,2,4.7p,
C15,0805,1,2.2p,
C2,0805,1,2.2u,
C20,0805,1,18p,
"C21, C25, C26, C27",0603,4,56pF,
C22,0805,1,10nF,
"C23, C5, C6, C9",0805,4,10u,
C24,0805,1,1.8p,
C28,0603,1,10u,
C29,0805,1,10n,
D1,D_SOD-523,1,RSB6.8S,C28646388
D2,D_SOD-323,1,1N5817WS,C727114
J1,USB_C_Receptacle_GCT_USB4085,1,USB_C_Receptacle_USB2.0_16P,C7095263
"J2, J4",U.FL_Hirose_U.FL-R-SMT-1_Vertical,2,Conn_Coaxial_Small,C88373
L1,0402,1,2.0n,C18216
L2,0603,1,22n,C12099
L3,0603,1,27nH,C12100
Q1,SOT-23,1,AO3401,C181091
Q2,SOT-23,1,AO3401A,C15127
Q3,SOT-23,1,AO3400A,C20917
"R1, R12, R25, R4, R7",0805,5,10k,
R10,0805,1,499,
"R11, R5",0805,2,1k,
R13,0805,1,1R,
R2,0805,1,4.7k,
R24,0805,1,2k,
"R26, R27",0805,2,5.1k,
"R28, R29",0805,2,22,
R3,0805,1,50 NC,
"R6, R8, R9",0805,3,100k,
"SW1, SW2",SW_SPST_PTS645Sx43SMTR92,2,SW_Push,C49234152
"TP10, TP11, TP8, TP9",TestPoint_Pad_1.0x1.0mm,4,TestPoint,
U1,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102,C6568
U2,DFN-8-1EP_2x2mm_P0.5mm_EP0.6x1.2mm,1,LGS4056HDA1,C5124109
U3,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,1,ESP32-S3FN8,C2913196
U4,HOPERF_RFM9XW_SMD,1,RFM95W-915S2,
U5,Teseo,1,TESEO-LIV3R,
U6,SOT-23-5,1,AP2112K-3.3TRG1,C23380830
U8,SOT-363_SC-70-6,1,2n7002bks,C68181
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal 40MHz/10ppm,C5380316
Y2,Crystal_SMD_SeikoEpson_MC146-4Pin_6.7x1.5mm,1,32.768KHz/ESR≤70KΩ,C15482
